quarter,avg_consumer_price_index,gdp,gdp_pct_change,avg_housing_starts,output_gap,recession_actual,avg_unemployment_rate,fed_funds_avg_rate,fed_funds_percent_change_prev_quarter,fed_funds_st_dev_rate,10YT_minus_2YT_avg,10YT_minus_2YT_percent_change_prev_quarter,real_disp_pers_inc,personal_consumption_exp_excl_food_energy,tot_public_debt_as_pct_of_gdp,gross_private_domestic_invest,M2_velocity,median_sls_price_houses_sold_US,personal_consumption_expenditures
1942Q1,,,,,,0.0,,,,,,,,,,,,,
1942Q2,,,,,,0.0,,,,,,,,,,,,,
1942Q3,,,,,,0.0,,,,,,,,,,,,,
1942Q4,,,,,,0.0,,,,,,,,,,,,,
1943Q1,,,,,,0.0,,,,,,,,,,,,,
1943Q2,,,,,,0.0,,,,,,,,,,,,,
1943Q3,,,,,,0.0,,,,,,,,,,,,,
1943Q4,,,,,,0.0,,,,,,,,,,,,,
1944Q1,,,,,,0.0,,,,,,,,,,,,,
1944Q2,,,,,,0.0,,,,,,,,,,,,,
1944Q3,,,,,,0.0,,,,,,,,,,,,,
1944Q4,,,,,,0.0,,,,,,,,,,,,,
1945Q1,,,,,,1.0,,,,,,,,,,,,,
1945Q2,,,,,,1.0,,,,,,,,,,,,,
1945Q3,,,,,,1.0,,,,,,,,,,,,,
1945Q4,,,,,,1.0,,,,,,,,,,,,,
1946Q1,,,,,,0.0,,,,,,,,,,,,,
1946Q2,,,,,,0.0,,,,,,,,,,,,,
1946Q3,,,,,,0.0,,,,,,,,,,,,,
1946Q4,,,,,,0.0,,,,,,,,,,,,,
1947Q1,21.7,243.164,,,,0.0,,,,,,,,,,,,,
1947Q2,22.01,245.968,4.7,,,0.0,,,,,,,,,,,,,
1947Q3,22.49,249.585,6.0,,,0.0,,,,,,,,,,,,,
1947Q4,23.126666666666665,259.745,17.3,,,0.0,,,,,,,,,,,,,
1948Q1,23.616666666666664,265.742,9.6,,,0.0,4.4,,,,,,,,,,,,
1948Q2,23.99333333333333,272.567,10.7,,,0.0,3.766666666666667,,,,,,,,,,,,
1948Q3,24.396666666666665,279.196,10.1,,,0.0,3.633333333333333,,,,,,,,,,,,
1948Q4,24.17333333333333,280.366,1.7,,,1.0,3.266666666666666,,,,,,,,,,,,
1949Q1,23.94333333333333,275.034,-7.4,,-0.06350562437704685,1.0,5.466666666666666,,,,,,,,,,,,
1949Q2,23.91666666666667,271.351,-5.2,,-1.6553404883535645,1.0,5.833333333333332,,,,,,,,,,,,
1949Q3,23.71666666666667,272.889,2.3,,-1.8952336881073577,1.0,6.400000000000001,,,,,,,,,,,,
1949Q4,23.66,270.627,-3.3,,-3.954175804093567,1.0,5.933333333333334,,,,,,,,,,,,
1950Q1,23.58666666666667,280.828,16.0,,-1.4536105723693111,0.0,7.533333333333334,,,,,,,,,,,,
1950Q2,23.766666666666666,290.383,14.3,,0.24072837362539515,0.0,5.633333333333333,,,,,,,,,,,,
1950Q3,24.20333333333333,308.153,26.8,,2.751175359198559,0.0,4.466666666666666,,,,,,,,,,,,
1950Q4,24.69333333333333,319.945,16.2,,3.3338102670829,0.0,3.6666666666666665,,,,,,,,,,,,
1951Q1,25.696666666666665,336.0,21.6,,3.312804721580703,0.0,4.133333333333334,,,,,,,,,,,,
1951Q2,25.94666666666667,344.09,10.0,,3.6183750052704817,0.0,3.1666666666666665,,,,,,,,,,,,
1951Q3,25.93333333333333,351.385,8.8,,4.250633858431357,0.0,3.0666666666666664,,,,,,,,,,,,
1951Q4,26.316666666666666,356.17800000000005,5.6,,3.0074171208457976,0.0,2.966666666666667,,,,,,,,,,,,
1952Q1,26.41666666666667,359.82,4.2,,2.656780345886536,0.0,3.6,,,,,,,,,,,,
1952Q2,26.486666666666668,361.03,1.4,,1.4593926835100024,0.0,3.0333333333333337,,,,,,,,,,,,
1952Q3,26.66666666666667,367.701,7.6,,0.8375997797963117,0.0,3.0333333333333337,,,,,,,,,,,,
1952Q4,26.69666666666667,380.812,15.0,,2.8510795278036656,0.0,2.466666666666667,,,,,,,,,,,,
1953Q1,26.62,387.98,7.7,,3.588350483796652,0.0,3.1666666666666665,,,,,,,,,,,,
1953Q2,26.72,391.749,3.9,,3.3611755313082163,0.0,2.6666666666666665,,,,,,,,,,,,
1953Q3,26.84333333333333,391.171,-0.6,,1.8617558402411447,1.0,2.5666666666666664,,,,,,,,,,,,
1953Q4,26.89,385.97,-5.2,,-0.49028255344595595,1.0,3.3000000000000003,,,,,,,,,,,,
1954Q1,26.95333333333333,385.345,-0.6,,-1.6715526198604718,1.0,6.133333333333333,,,,,,,,,,,,
1954Q2,26.91,386.121,0.8,,-2.203104261908273,1.0,5.833333333333332,,,,,,,,,,,,
1954Q3,26.84,390.996,5.1,,-1.6966176847814138,0.0,5.466666666666668,,,,,,,,,,,,
1954Q4,26.756666666666664,399.734,9.2,,-0.3609836065573769,0.0,4.766666666666667,0.9883695652173908,-0.038998097653772566,0.436573262544833,,,,,,,,,
1955Q1,26.79333333333333,413.073,14.0,,1.8578514790542744,0.0,5.566666666666666,1.344999999999999,0.3608270097877484,0.19593194186425197,,,,,,,,,
1955Q2,26.75666666666667,421.532,8.4,,2.8894087163061863,0.0,4.500000000000001,1.5010989010989002,0.11605866252706412,0.2687892629694644,,,,,,,,,
1955Q3,26.77666666666667,430.221,8.5,,3.6485191014451277,0.0,3.766666666666667,1.936521739130434,0.2900693869756194,0.2165180741769467,,,,,,,,,
1955Q4,26.85666666666667,437.092,6.5,,3.629457143872872,0.0,3.7,2.3590217391304344,0.21817467444993288,0.12685597771747478,,,,,,,,,
1956Q1,26.86,439.746,2.5,,2.5778429363761615,0.0,4.733333333333333,2.4823076923076917,0.052261473954327536,0.1314709678393498,,,,,,,,,
1956Q2,27.036666666666665,446.01,5.8,,2.7719661600028083,0.0,4.333333333333333,2.6945054945054943,0.08548408517419982,0.12063041569893215,,,,,,,,,
1956Q3,27.316666666666666,451.191,4.7,,2.0064516129032257,0.0,3.833333333333334,2.808586956521739,0.04233855237960151,0.1951476280949249,,,,,,,,,
1956Q4,27.55,460.463,8.5,,2.9743705191701597,0.0,3.6666666666666665,2.9298913043478256,0.04319052594914646,0.25454330819672016,,,,,,,,,
1957Q1,27.77666666666667,469.779,8.3,,2.8784253051401065,0.0,4.633333333333334,2.9330000000000003,0.0010610276386572698,0.2507223272731379,,,,,,,,,
1957Q2,28.013333333333332,472.025,1.9,,1.8302523874488403,0.0,4.166666666666667,3.0,0.02284350494374351,0.0,,,,,,,,,
1957Q3,28.263333333333332,479.49,6.5,,1.9690533364900056,1.0,3.8333333333333335,3.230760869565217,0.07692028985507228,0.25542997016946545,,,,,,,,,
1957Q4,28.4,474.864,-3.8,,0.0344318905689476,1.0,4.4,3.252717391304348,0.006796083840796828,0.26074324561487594,,,,,,,,,
1958Q1,28.736666666666668,467.54,-6.0,,-3.449254177602073,1.0,7.399999999999999,1.869777777777777,-0.4251643924626381,0.9317447422278072,,,,,,,,,
1958Q2,28.930000000000003,471.978,3.9,,-3.7102465356637366,1.0,7.399999999999999,0.936923076923077,-0.4989120696275438,0.5706890422164971,,,,,,,,,
1958Q3,28.91333333333333,485.841,12.3,,-2.4010173802458668,0.0,6.7,1.318913043478261,0.4077068608552867,0.5892096709249728,,,,,,,,,
1958Q4,28.94333333333333,499.555,11.8,,-1.056754312294076,0.0,5.7,2.1633695652173914,0.640267018295698,0.4377572139944749,,,,,,,,,
1959Q1,28.993333333333336,510.33,8.9,1648.0,-0.08206112978076492,0.0,6.8,2.5769999999999995,0.19119730693865214,0.2366025919487235,,,,,,,,,
1959Q2,29.04333333333333,522.653,10.0,1530.333333333333,1.2297057331303909,0.0,5.166666666666667,3.0796703296703303,0.1950602753862361,0.3413191746720057,,,,,,,,,
1959Q3,29.19333333333333,525.034,1.8,1505.666666666667,0.3566424779317061,0.0,4.9,3.573369565217391,0.1603091184113562,0.2300801445359834,,,,,,,,,
1959Q4,29.37,528.6,2.7,1457.333333333333,-0.3031274311498367,0.0,5.033333333333333,3.991847826086957,0.11711026615969587,0.044645843187283166,,,,,,,,,
1960Q1,29.396666666666665,542.648,11.1,1357.3333333333333,0.9571609085585726,0.0,5.966666666666666,3.931318681318681,-0.015163189431399153,0.2912280846927324,,,,,,,,,
1960Q2,29.57333333333333,541.08,-1.2,1269.0,-0.5649758896417018,1.0,5.266666666666667,3.695054945054945,-0.060097833682739236,0.5372282230245945,,,,,,,,,
1960Q3,29.59,545.604,3.4,1212.6666666666667,-1.056844968268359,1.0,5.133333333333333,2.9375,-0.20501858736059486,0.6085753946628234,,,,,,,,,
1960Q4,29.78,540.197,-3.9,1185.0,-3.2911729503291434,1.0,5.666666666666668,2.296195652173913,-0.2183163737280296,0.7309197012334653,,,,,,,,,
1961Q1,29.84,545.018,3.6,1240.3333333333333,-3.596053567196018,1.0,7.833333333333332,1.9875555555555555,-0.13441367521367525,0.7536090112403923,,,,,,,,,
1961Q2,29.83,555.545,8.0,1258.6666666666667,-2.9145933575871377,0.0,6.966666666666666,1.7335164835164836,-0.1278148282844168,0.8180279452254178,,,,,,,,,
1961Q3,29.94666666666667,567.664,9.0,1358.6666666666667,-2.0196682257923944,0.0,6.300000000000002,1.6793478260869563,-0.03124784675807898,0.6837257408322,,,,,,,,,
1961Q4,29.99,580.612,9.4,1388.333333333333,-1.083851110344034,0.0,5.633333333333333,2.3967391304347827,0.4271844660194175,0.5461556126025415,,,,,,,,,
1962Q1,30.106666666666666,594.013,9.6,1360.6666666666667,-0.32028023808845724,0.0,6.466666666666666,2.458333333333333,0.025699168556311432,0.5832998920323436,,,,,,,,,
1962Q2,30.22,600.366,4.3,1470.333333333333,-0.44305688673394605,0.0,5.5,2.607142857142857,0.06053268765133168,0.416904693916396,,,,,,,,,
1962Q3,30.30666666666667,609.0269999999998,5.9,1430.333333333333,-0.2630771376761054,0.0,5.166666666666667,2.845108695652174,0.09127456819535433,0.239741135876276,,,,,,,,,
1962Q4,30.38,612.28,2.2,1573.0,-0.9792949231151478,0.0,5.033333333333334,2.924021739130433,0.02773638968481333,0.1005595311367188,,,,,,,,,
1963Q1,30.47666666666667,621.672,6.3,1411.333333333333,-0.964657362139131,0.0,6.6000000000000005,2.9656666666666665,0.014242345389886744,0.1322752492835817,,,,,,,,,
1963Q2,30.53333333333333,629.752,5.3,1639.333333333333,-0.9222600518806744,0.0,5.7666666666666675,2.9645054945054943,-0.0003915383256734321,0.17889949839233904,,,,,,,,,
1963Q3,30.72,644.444,9.7,1672.0,0.17584943994439547,0.0,5.2,3.3265217391304343,0.12211690796185468,0.3701274944658661,,,,,,,,,
1963Q4,30.80333333333333,653.938,6.0,1630.666666666667,-0.24477004046441514,0.0,5.1000000000000005,3.451304347826087,0.037511436413540884,0.198606228067104,,,,,,,,,
1964Q1,30.930000000000003,669.822,10.1,1646.666666666667,0.7841628722457737,0.0,6.166666666666668,3.4643956043956043,0.0037931330448337064,0.17601899386908856,,,,,,,,,
1964Q2,30.98,678.674,5.4,1488.333333333333,0.8103573278094252,0.0,5.333333333333333,3.4879120879120875,0.006788047960413526,0.04517906308399667,,,,,,,,,
1964Q3,31.05,692.0310000000002,8.1,1528.666666666667,1.3071917194025262,0.0,4.733333333333333,3.4565217391304346,-0.00899975343141278,0.2332542582092905,,,,,,,,,
1964Q4,31.19333333333333,697.319,3.1,1498.0,0.548457423885213,0.0,4.533333333333334,3.5751086956521734,0.034308176100628834,0.4497777096026691,,,,,,,,,
1965Q1,31.290000000000006,717.79,12.3,1405.666666666667,1.88124796228024,0.0,5.433333333333333,3.977222222222221,0.1124758883720301,0.2532220581556419,,,,,,,,,
1965Q2,31.49,730.191,7.1,1468.0,2.0700957768845214,0.0,4.766666666666667,4.079450549450547,0.025703448667549374,0.2267027551533929,,,,,,,,,
1965Q3,31.58333333333333,749.323,10.9,1481.0,3.220157588551511,0.0,4.166666666666667,4.077499999999998,-0.0004781402365109367,0.3322306394693265,,,,,,,,,
1965Q4,31.75,771.857,12.6,1522.666666666667,4.4523138930704595,0.0,3.733333333333333,4.170760869565215,0.022872071015381263,0.4008184859406597,,,,,,,,,
1966Q1,32.04666666666666,795.7339999999998,13.0,1380.666666666667,5.820738179285834,0.0,4.2,4.5589999999999975,0.09308592426572154,0.4060222222290551,,,,,,,,,
1966Q2,32.336666666666666,804.9810000000001,4.7,1270.3333333333333,4.9847333681561325,0.0,3.966666666666667,4.913736263736261,0.07781010391231957,0.3602056460525112,,,,,,,,,
1966Q3,32.61666666666667,819.638,7.5,1083.6666666666667,4.668567941224797,0.0,3.6,5.410652173913043,0.10112791641750413,0.6105029530718975,,,,,,,,,
1966Q4,32.88333333333333,833.302,6.8,931.3333333333335,4.315211842776927,0.0,3.3666666666666667,5.559782608695652,0.027562376953674625,0.4049310842488167,,,,,,,,,
1967Q1,32.96666666666667,844.17,5.3,1082.0,4.02015916336032,0.0,4.1000000000000005,4.8194444444444455,-0.1331595525143912,0.4814359633082487,,,,,,,,,
1967Q2,33.166666666666664,848.9830000000002,2.3,1214.3333333333333,2.8828890097932534,0.0,3.766666666666667,3.9923076923076923,-0.17162491686987374,0.2086628163812874,,,,,,,,,
1967Q3,33.5,865.2330000000002,7.9,1397.333333333333,2.6623865546218486,0.0,3.8333333333333335,3.8918478260869565,-0.02516335762754464,0.2728640499872453,,,,,,,,,
1967Q4,33.86666666666667,881.439,7.7,1445.666666666667,2.2518497186655444,0.0,3.6666666666666665,4.172826086956522,0.07219662058371726,0.37990839291110656,,,,,,,,,
1968Q1,34.2,909.387,13.3,1455.333333333333,3.1626292272647625,0.0,4.0,4.792637362637363,0.14853513248928732,0.3652087231671931,,,,,,,,,
1968Q2,34.53333333333334,934.344,11.4,1455.666666666667,3.6826744034988965,0.0,3.533333333333333,5.984285714285713,0.24864146011510305,0.3399612489588346,,,,,,,,,
1968Q3,35.0,950.825,7.2,1521.0,3.3029861928716686,0.0,3.6,5.946521739130433,-0.006310523420552742,0.22403117317727034,,,,,,,,,
1968Q4,35.43333333333333,968.03,7.4,1582.333333333333,2.556710414902625,0.0,3.2,5.918152173913042,-0.004770783066461853,0.5250827864561786,,,,,,,,,
1969Q1,35.86666666666667,993.337,10.9,1678.333333333333,3.0320574563423928,0.0,3.633333333333333,6.567444444444442,0.10971199311052733,0.47558021597068295,,,,,,,,,
1969Q2,36.43333333333333,1009.02,6.5,1545.0,2.2808828100714957,1.0,3.4,8.332527472527474,0.2687625366326708,1.0379548196189496,,,,,,,,,
1969Q3,36.93333333333333,1029.956,8.6,1411.0,1.940331582403152,1.0,3.6666666666666665,8.98108695652174,0.07783466494801036,1.0719238702278544,,,,,,,,,
1969Q4,37.5,1038.147,3.2,1312.3333333333333,0.4946540369135702,1.0,3.333333333333333,8.941630434782608,-0.004393290247621921,0.9128716640949599,,,,,,,,,
1970Q1,38.1,1051.2,5.1,1236.3333333333333,-0.5140162431228714,1.0,4.5,8.55888888888889,-0.042804446983725535,0.9140408424533938,,,,,,,,,
1970Q2,38.63333333333333,1067.375,6.3,1313.0,-1.1675329868052782,1.0,4.666666666666666,7.883296703296702,-0.07893456666661927,0.528309789054901,,,,,,,,,
1970Q3,39.033333333333346,1086.059,7.2,1483.333333333333,-1.0166058249345291,1.0,5.166666666666667,6.711086956521737,-0.1486953733816413,0.5585036061385437,,,,,,,,,
1970Q4,39.6,1088.608,0.9,1706.666666666667,-2.798593879239041,1.0,5.4,5.568260869565217,-0.17028926824527876,0.6879474307408757,,,,,,,,,
1971Q1,39.93333333333333,1135.156,18.2,1826.333333333333,-0.8866688823287912,0.0,6.5,3.862777777777776,-0.30628649262989865,0.5455108476408905,,,,,,,,,
1971Q2,40.3,1156.271,7.7,2020.333333333333,-1.065992507909396,0.0,5.833333333333332,4.567252747252747,0.18237522580971455,0.3582986523808375,,,,,,,,,
1971Q3,40.7,1177.675,7.6,2094.0,-0.9592013721598026,0.0,5.966666666666668,5.475543478260867,0.19887025773961595,0.19234449480625745,,,,,,,,,
1971Q4,41.0,1190.297,4.4,2201.6666666666665,-1.4304439341752777,0.0,5.533333333333334,4.747608695652173,-0.13294292803970226,0.5543125027390111,,,,,,,,,
1972Q1,41.333333333333336,1230.609,14.3,2406.0,-0.34433236450675325,0.0,6.333333333333332,3.5490109890109878,-0.25246345760105565,0.328484922519047,,,,,,,,,
1972Q2,41.6,1266.369,12.1,2241.333333333333,1.1852627211346234,0.0,5.6000000000000005,4.301428571428572,0.2120076789695322,0.21363817505602734,,,,,,,,,
1972Q3,41.93333333333333,1290.566,7.9,2371.6666666666665,1.3969407050982008,0.0,5.6000000000000005,4.74141304347826,0.1022879875240061,0.2679535039284968,,,,,,,,,
1972Q4,42.36666666666667,1328.904,12.4,2424.0,2.328445856795079,0.0,4.933333333333334,5.145543478260869,0.08523417619953708,0.3006380180035241,,,,,,,,,
1973Q1,43.03333333333333,1377.49,15.4,2378.333333333333,4.054529025595634,0.0,5.433333333333334,6.5382222222222195,0.2706572687307386,0.6280423977990727,,,,,,,,,
1973Q2,43.93333333333334,1413.8870000000004,11.0,2139.0,4.338802612083631,0.0,4.866666666666666,7.818461538461538,0.1958084740356512,0.6497109153341003,,,,,,,,,
1973Q3,44.8,1433.838,5.8,2016.0,2.9296520698037223,0.0,4.8,10.557717391304351,0.35035739951747913,0.6991330632531834,,,,,,,,,
1973Q4,45.93333333333334,1476.289,12.4,1642.333333333333,3.020863309352518,1.0,4.466666666666667,9.996739130434785,-0.05313442670208285,0.6174355128415576,,,,,,,,,
1974Q1,47.29999999999999,1491.2089999999996,4.1,1586.0,1.2356580026384285,1.0,5.6000000000000005,9.33377777777778,-0.06631776062242503,0.3792173423764416,,,,,,,,,
1974Q2,48.56666666666666,1530.056,10.8,1515.333333333333,0.5548685698134539,1.0,5.066666666666666,11.25131868131868,0.2054410281875636,0.7986449757644493,,,,,,,,,
1974Q3,49.93333333333333,1560.026,8.1,1202.6666666666667,-1.3021460579750737,1.0,5.566666666666666,12.098586956521745,0.07530390874181159,0.8313402148308655,,,,,,,,,
1974Q4,51.46666666666667,1599.679,10.6,1023.6666666666665,-2.5720580072162087,1.0,6.133333333333333,9.344347826086953,-0.2276496536605968,0.8989509201332446,,,,,,,,,
1975Q1,52.56666666666666,1616.116,4.2,976.3333333333335,-4.5954534511813465,1.0,9.066666666666668,6.305333333333333,-0.3252248898815062,0.894418648676963,,,,,,,,,
1975Q2,53.2,1651.8529999999996,9.1,1071.0,-4.716595048086762,0.0,8.666666666666666,5.41846153846154,-0.14065422841062478,0.3717762860076027,,,,,,,,,
1975Q3,54.26666666666667,1709.82,14.8,1250.0,-3.8757230321685885,0.0,8.333333333333334,6.155869565217388,0.13609177097992642,0.21039550497597304,,,,,,,,,
1975Q4,55.26666666666666,1761.831,12.7,1341.6666666666667,-3.3610388738821877,0.0,7.8,5.411195652173912,-0.1209697354945788,0.4054893730164084,,,,,,,,,
1976Q1,55.9,1820.487,14.0,1442.0,-1.9511545440924298,0.0,8.533333333333333,4.826483516483517,-0.10805599598962794,0.17941493574872494,,,,,,,,,
1976Q2,56.4,1852.332,7.2,1449.666666666667,-1.9856432453865087,0.0,7.399999999999999,5.195384615384616,0.07643268595888092,0.3383269545944101,,,,,,,,,
1976Q3,57.3,1886.558,7.6,1557.0,-2.1991507361379807,0.0,7.599999999999999,5.283478260869566,0.016956135494585942,0.10061825127306627,1.096666666666667,0.3708333333333333,3.2,6.0,33.64333,328.30699999999996,1.7169999999999999,44400.0,1158.806
1976Q4,58.13333333333333,1934.273,10.5,1691.333333333333,-2.246705495721212,0.0,7.333333333333332,4.874239130434785,-0.07745638578011797,0.21194148941511803,1.4666666666666668,0.3373860182370821,2.6,6.0,33.78753,337.65,1.699,45500.0,1192.4080000000001
1977Q1,59.2,1988.648,11.7,1844.333333333333,-1.8771748603892957,0.0,8.233333333333334,4.66066666666667,-0.04381657486489874,0.14825426079103635,1.3266666666666669,-0.09545454545454538,0.9,6.2,33.65136,360.31300000000005,1.689,46300.0,1228.212
1977Q2,60.23333333333333,2055.909,14.2,1918.666666666667,-0.7766962313086355,0.0,6.933333333333334,5.157472527472528,0.10659545003701723,0.3328349387595848,1.2566666666666666,-0.0527638190954776,3.8,6.5,32.80422,389.70300000000003,1.7009999999999998,48900.0,1255.98
1977Q3,61.06666666666666,2118.473,12.7,2009.0,0.1860014608275906,0.0,6.8,5.816413043478257,0.12776423189764416,0.3443087724949932,0.8266666666666667,-0.3421750663129973,5.7,6.6,32.98791,414.134,1.713,48800.0,1286.905
1977Q4,61.96666666666666,2164.27,8.9,2075.333333333333,-0.6447894687116177,0.0,6.3,6.511304347826085,0.11947076302068756,0.15429540236079525,0.4533333333333333,-0.4516129032258065,7.9,6.5,33.21873,422.29900000000004,1.715,51600.0,1324.8039999999999
1978Q1,63.03333333333333,2202.76,7.3,1829.333333333333,-1.1695942042562493,0.0,6.866666666666667,6.759555555555551,0.03812618708451994,0.10949230244465466,0.4633333333333333,0.022058823529411787,3.2,6.4,33.5012,434.79900000000004,1.713,53000.0,1354.0529999999999
1978Q2,64.46666666666667,2331.633,25.5,2114.0,1.7376704167375931,0.0,5.833333333333332,7.2826373626373675,0.07738405325360555,0.3338523797689798,0.3233333333333333,-0.30215827338129503,4.3,6.6,32.12444,470.584,1.78,55300.0,1411.385
1978Q3,65.96666666666667,2395.053,11.3,2019.333333333333,1.848113496932516,0.0,6.0,8.094782608695649,0.11151801272227133,0.35298874078756315,0.013333333333333336,-0.958762886597938,3.1,6.6,32.21407,492.36800000000005,1.795,56100.0,1442.217
1978Q4,67.5,2476.949,14.4,2039.666666666667,2.3147852527556063,0.0,5.566666666666666,9.577826086956527,0.1832097969706749,0.5581520256234812,-0.5099999999999999,-39.24999999999999,2.7,7.0,31.862059999999996,515.755,1.8219999999999998,59000.0,1481.354
1979Q1,69.2,2526.61,8.3,1665.666666666667,1.6257763038890565,0.0,6.3,10.073222222222224,0.05172323351541594,0.30247602849685634,-0.6833333333333332,0.3398692810457517,4.9,6.8,31.536009999999997,525.809,1.8319999999999999,60600.0,1517.141
1979Q2,71.39999999999998,2591.2470000000008,10.6,1845.666666666667,0.9145322148955576,1.0,5.566666666666666,10.181978021978011,0.01079652541724596,0.20250223472138665,-0.48,-0.29756097560975603,-3.6,7.3,31.06277,539.293,1.835,63100.0,1557.635
