quarter,avg_consumer_price_index
1947Q1,21.7
1947Q2,22.01
1947Q3,22.49
1947Q4,23.126666666666665
1948Q1,23.616666666666664
1948Q2,23.99333333333333
1948Q3,24.396666666666665
1948Q4,24.173333333333332
1949Q1,23.94333333333333
1949Q2,23.916666666666668
1949Q3,23.71666666666667
1949Q4,23.66
1950Q1,23.58666666666667
1950Q2,23.766666666666666
1950Q3,24.203333333333333
1950Q4,24.69333333333333
1951Q1,25.696666666666662
1951Q2,25.94666666666667
1951Q3,25.933333333333334
1951Q4,26.316666666666666
1952Q1,26.416666666666668
1952Q2,26.486666666666668
1952Q3,26.666666666666668
1952Q4,26.69666666666667
1953Q1,26.62
1953Q2,26.72
1953Q3,26.843333333333334
1953Q4,26.89
1954Q1,26.953333333333333
1954Q2,26.91
1954Q3,26.84
1954Q4,26.756666666666664
1955Q1,26.793333333333333
1955Q2,26.75666666666667
1955Q3,26.77666666666667
1955Q4,26.85666666666667
1956Q1,26.86
1956Q2,27.036666666666665
1956Q3,27.316666666666663
1956Q4,27.55
1957Q1,27.776666666666667
1957Q2,28.013333333333332
1957Q3,28.263333333333332
1957Q4,28.400000000000002
1958Q1,28.736666666666668
1958Q2,28.930000000000003
1958Q3,28.91333333333333
1958Q4,28.94333333333333
1959Q1,28.993333333333336
1959Q2,29.043333333333333
1959Q3,29.19333333333333
1959Q4,29.37
1960Q1,29.396666666666665
1960Q2,29.573333333333334
1960Q3,29.59
1960Q4,29.78
1961Q1,29.84
1961Q2,29.83
1961Q3,29.94666666666667
1961Q4,29.99
1962Q1,30.106666666666666
1962Q2,30.22
1962Q3,30.30666666666667
1962Q4,30.38
1963Q1,30.47666666666667
1963Q2,30.53333333333333
1963Q3,30.72
1963Q4,30.80333333333333
1964Q1,30.930000000000003
1964Q2,30.98
1964Q3,31.05
1964Q4,31.19333333333333
1965Q1,31.290000000000003
1965Q2,31.49
1965Q3,31.583333333333332
1965Q4,31.75
1966Q1,32.04666666666666
1966Q2,32.336666666666666
1966Q3,32.61666666666667
1966Q4,32.88333333333333
1967Q1,32.96666666666667
1967Q2,33.166666666666664
1967Q3,33.5
1967Q4,33.86666666666667
1968Q1,34.2
1968Q2,34.53333333333334
1968Q3,35.0
1968Q4,35.43333333333333
1969Q1,35.86666666666667
1969Q2,36.43333333333333
1969Q3,36.93333333333333
1969Q4,37.5
1970Q1,38.1
1970Q2,38.63333333333333
1970Q3,39.03333333333334
1970Q4,39.6
1971Q1,39.93333333333333
1971Q2,40.300000000000004
1971Q3,40.7
1971Q4,41.0
1972Q1,41.333333333333336
1972Q2,41.6
1972Q3,41.93333333333333
1972Q4,42.36666666666667
1973Q1,43.03333333333333
1973Q2,43.93333333333334
1973Q3,44.800000000000004
1973Q4,45.93333333333334
1974Q1,47.29999999999999
1974Q2,48.56666666666666
1974Q3,49.93333333333333
1974Q4,51.46666666666667
1975Q1,52.56666666666666
1975Q2,53.199999999999996
1975Q3,54.26666666666667
1975Q4,55.26666666666666
1976Q1,55.9
1976Q2,56.4
1976Q3,57.300000000000004
1976Q4,58.13333333333333
1977Q1,59.199999999999996
1977Q2,60.23333333333333
1977Q3,61.06666666666666
1977Q4,61.96666666666666
1978Q1,63.03333333333333
1978Q2,64.46666666666667
1978Q3,65.96666666666667
1978Q4,67.5
1979Q1,69.2
1979Q2,71.39999999999999
1979Q3,73.7
1979Q4,76.03333333333333
1980Q1,79.03333333333333
1980Q2,81.7
1980Q3,83.23333333333333
1980Q4,85.56666666666668
1981Q1,87.93333333333332
1981Q2,89.76666666666667
1981Q3,92.26666666666665
1981Q4,93.76666666666665
1982Q1,94.60000000000001
1982Q2,95.96666666666665
1982Q3,97.63333333333333
1982Q4,97.93333333333334
1983Q1,98.0
1983Q2,99.13333333333333
1983Q3,100.09999999999998
1983Q4,101.09999999999998
1984Q1,102.53333333333335
1984Q2,103.5
1984Q3,104.39999999999999
1984Q4,105.3
1985Q1,106.26666666666667
1985Q2,107.23333333333333
1985Q3,107.90000000000002
1985Q4,109.0
1986Q1,109.56666666666668
1986Q2,109.03333333333335
1986Q3,109.7
1986Q4,110.46666666666668
1987Q1,111.8
1987Q2,113.06666666666666
1987Q3,114.26666666666667
1987Q4,115.33333333333333
1988Q1,116.23333333333333
1988Q2,117.56666666666666
1988Q3,119.0
1988Q4,120.3
1989Q1,121.66666666666667
1989Q2,123.63333333333333
1989Q3,124.60000000000001
1989Q4,125.86666666666667
1990Q1,128.03333333333333
1990Q2,129.29999999999998
1990Q3,131.53333333333333
1990Q4,133.76666666666668
1991Q1,134.76666666666668
1991Q2,135.56666666666666
1991Q3,136.6
1991Q4,137.73333333333332
1992Q1,138.66666666666666
1992Q2,139.73333333333335
1992Q3,140.79999999999998
1992Q4,142.03333333333333
1993Q1,143.06666666666666
1993Q2,144.1
1993Q3,144.76666666666668
1993Q4,145.96666666666667
1994Q1,146.70000000000002
1994Q2,147.53333333333333
1994Q3,148.9
1994Q4,149.76666666666668
1995Q1,150.86666666666665
1995Q2,152.1
1995Q3,152.86666666666667
1995Q4,153.70000000000002
1996Q1,155.06666666666666
1996Q2,156.4
1996Q3,157.29999999999998
1996Q4,158.66666666666666
1997Q1,159.63333333333335
1997Q2,160.0
1997Q3,160.8
1997Q4,161.66666666666666
1998Q1,162.0
1998Q2,162.53333333333333
1998Q3,163.36666666666667
1998Q4,164.13333333333333
1999Q1,164.73333333333332
1999Q2,165.96666666666667
1999Q3,167.2
1999Q4,168.43333333333334
2000Q1,170.1
2000Q2,171.4333333333333
2000Q3,173.0
2000Q4,174.23333333333335
2001Q1,175.9
2001Q2,177.13333333333335
2001Q3,177.63333333333333
2001Q4,177.5
2002Q1,178.0666666666667
2002Q2,179.46666666666667
2002Q3,180.4333333333333
2002Q4,181.5
2003Q1,183.36666666666667
2003Q2,183.0666666666667
2003Q3,184.4333333333333
2003Q4,185.13333333333333
2004Q1,186.70000000000002
2004Q2,188.16666666666666
2004Q3,189.36666666666665
2004Q4,191.4
2005Q1,192.36666666666667
2005Q2,193.66666666666666
2005Q3,196.6
2005Q4,198.4333333333333
2006Q1,199.4666666666667
2006Q2,201.26666666666665
2006Q3,203.16666666666666
2006Q4,202.33333333333334
2007Q1,204.317
2007Q2,206.631
2007Q3,207.939
2007Q4,210.4896666666667
2008Q1,212.76966666666667
2008Q2,215.53766666666664
2008Q3,218.86100000000002
2008Q4,213.84866666666667
2009Q1,212.37766666666667
2009Q2,213.50699999999998
2009Q3,215.34399999999997
2009Q4,217.03
2010Q1,217.374
2010Q2,217.29733333333334
2010Q3,217.93433333333334
2010Q4,219.69899999999998
2011Q1,222.0436666666667
2011Q2,224.5683333333333
2011Q3,226.03266666666664
2011Q4,227.0473333333333
2012Q1,228.32600000000002
2012Q2,228.808
2012Q3,229.841
2012Q4,231.36933333333334
2013Q1,232.29933333333335
2013Q2,232.045
2013Q3,233.29999999999998
2013Q4,234.1626666666667
2014Q1,235.62099999999998
2014Q2,236.87233333333333
2014Q3,237.47833333333332
2014Q4,236.88833333333332
2015Q1,235.31966666666665
2015Q2,236.93800000000002
2015Q3,237.86233333333334
2015Q4,237.87133333333335
2016Q1,237.78
2016Q2,239.48600000000002
2016Q3,240.601
2016Q4,242.16400000000002
2017Q1,243.83
2017Q2,244.06500000000003
2017Q3,245.36833333333334
2017Q4,247.2733333333333
2018Q1,249.25033333333332
2018Q2,250.57866666666666
2018Q3,251.82866666666666
2018Q4,252.759
2019Q1,253.31133333333332
2019Q2,255.13933333333333
2019Q3,256.27299999999997
